blind_id,human_label,notes,reading_1_entailment_score,reading_2_entailment_score,reading_1_nli_label,reading_2_nli_label
T3A-0169,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001083,0.042866,neutral,neutral
T3A-0722,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002316,0.005206,neutral,neutral
T3A-0237,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003390,0.005389,neutral,contradiction
T3A-0837,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002722,0.064089,neutral,neutral
T3A-0353,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.012474,0.002630,neutral,neutral
T3A-0576,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.021240,0.019054,neutral,neutral
T3A-0581,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001232,0.000919,neutral,neutral
T3A-0335,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001252,0.000844,neutral,neutral
T3A-0802,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002558,0.012618,neutral,neutral
T3A-1043,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002091,0.002262,contradiction,neutral
T3A-0179,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003643,0.002980,neutral,neutral
T3A-0030,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.041970,0.123548,neutral,neutral
T3A-1072,reading_2,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.340706,0.661334,neutral,entailment
T3A-1073,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000729,0.002583,neutral,neutral
T3A-1017,reading_1,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.958134,0.015646,entailment,neutral
T3A-0418,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003457,0.001845,contradiction,contradiction
T3A-0714,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001983,0.002171,neutral,contradiction
T3A-0805,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.032679,0.060020,neutral,neutral
T3A-0741,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.048482,0.078134,neutral,neutral
T3A-0932,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000799,0.001094,neutral,neutral
T3A-0926,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.072843,0.035173,neutral,neutral
T3A-0925,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002033,0.001340,contradiction,contradiction
T3A-0069,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001166,0.000969,neutral,neutral
T3A-0600,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001318,0.001141,neutral,neutral
T3A-0808,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002606,0.009226,neutral,neutral
T3A-0439,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001238,0.001147,neutral,neutral
T3A-0638,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000904,0.000886,neutral,neutral
T3A-0989,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.007527,0.002409,neutral,neutral
T3A-0306,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.023554,0.047315,neutral,neutral
T3A-0206,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002350,0.070951,neutral,neutral
T3A-0218,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001988,0.000666,neutral,neutral
T3A-0642,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.030798,0.036515,neutral,neutral
T3A-0700,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001718,0.002444,neutral,neutral
T3A-0768,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001219,0.002417,neutral,contradiction
T3A-0100,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002107,0.002386,neutral,neutral
T3A-0393,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.202686,0.109912,neutral,neutral
T3A-0997,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001357,0.001791,neutral,neutral
T3A-0924,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.073747,0.084342,neutral,neutral
T3A-0962,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000146,0.002404,contradiction,neutral
T3A-0234,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.005385,0.003105,neutral,neutral
T3A-0762,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000593,0.000665,neutral,neutral
T3A-0729,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000824,0.000793,neutral,neutral
T3A-1012,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000679,0.003050,neutral,neutral
T3A-0591,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000877,0.001092,neutral,neutral
T3A-0388,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.019329,0.046762,neutral,neutral
T3A-1075,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.021297,0.004607,neutral,contradiction
T3A-1077,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002620,0.001887,neutral,neutral
T3A-0424,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001621,0.000796,neutral,neutral
T3A-0942,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002091,0.003866,contradiction,contradiction
T3A-0172,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002935,0.001825,neutral,contradiction
T3A-0120,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000684,0.004667,neutral,neutral
T3A-0027,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000967,0.001669,neutral,neutral
T3A-0281,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001666,0.002145,neutral,neutral
T3A-0249,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.067181,0.281198,neutral,neutral
T3A-0980,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002846,0.002723,neutral,neutral
T3A-0628,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.004370,0.004073,neutral,neutral
T3A-1034,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000729,0.001105,neutral,neutral
T3A-0577,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.011445,0.016771,neutral,neutral
T3A-0914,reading_2,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.011661,0.887722,neutral,entailment
T3A-0838,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.242841,0.371079,neutral,neutral
T3A-0032,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003855,0.004115,neutral,neutral
T3A-0743,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002502,0.002631,contradiction,contradiction
T3A-0062,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002465,0.002152,neutral,neutral
T3A-1057,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.006601,0.001092,neutral,neutral
T3A-0836,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001188,0.002387,neutral,neutral
T3A-0443,reading_2,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.796911,0.947072,entailment,entailment
T3A-0994,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000762,0.000649,neutral,neutral
T3A-0442,both_or_ambiguous,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.963223,0.977473,entailment,entailment
T3A-0534,both_or_ambiguous,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.941084,0.975781,entailment,entailment
T3A-0967,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.015873,0.001498,neutral,neutral
T3A-0112,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.081349,0.166444,neutral,neutral
T3A-0444,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.247846,0.006642,neutral,contradiction
T3A-0409,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.010264,0.005538,neutral,contradiction
T3A-0929,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.017476,0.031360,neutral,neutral
T3A-0583,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001161,0.002158,neutral,neutral
T3A-0940,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000905,0.001924,neutral,neutral
T3A-0500,reading_2,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.497517,0.501360,neutral,entailment
T3A-0420,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001583,0.002152,neutral,neutral
T3A-0788,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001482,0.002206,neutral,neutral
T3A-0494,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002120,0.000953,neutral,neutral
T3A-0827,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002728,0.003475,neutral,neutral
T3A-0686,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002804,0.018965,neutral,neutral
T3A-0828,both_or_ambiguous,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.973161,0.975722,entailment,entailment
T3A-0629,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003334,0.003564,neutral,neutral
T3A-0564,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001282,0.000164,contradiction,contradiction
T3A-0495,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.042568,0.061630,neutral,neutral
T3A-0776,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.014169,0.004364,neutral,neutral
T3A-0307,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.021052,0.037842,neutral,neutral
T3A-0053,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000996,0.001010,neutral,neutral
T3A-0530,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001516,0.001317,neutral,neutral
T3A-0355,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001893,0.001044,neutral,neutral
T3A-0846,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.437816,0.473177,neutral,neutral
T3A-0859,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.011125,0.005875,neutral,contradiction
T3A-0113,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.009613,0.026257,neutral,neutral
T3A-0466,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001288,0.001176,neutral,neutral
T3A-0817,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.224522,0.012757,neutral,neutral
T3A-1026,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.006518,0.006224,neutral,neutral
T3A-0475,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000798,0.000789,neutral,neutral
T3A-0009,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002610,0.003594,neutral,neutral
T3A-0880,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.213890,0.099695,neutral,neutral
T3A-1084,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.012376,0.003476,neutral,neutral
T3A-0277,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001110,0.000928,neutral,neutral
T3A-0459,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000973,0.000899,neutral,neutral
T3A-0519,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002080,0.005123,neutral,neutral
T3A-0977,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000722,0.000763,neutral,neutral
T3A-0905,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001474,0.001587,neutral,neutral
T3A-0273,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002212,0.003049,neutral,neutral
T3A-0468,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.010117,0.029890,neutral,neutral
T3A-0990,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.006056,0.020818,contradiction,neutral
T3A-0561,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.004362,0.002832,neutral,neutral
T3A-0308,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003413,0.004294,contradiction,contradiction
T3A-0518,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002693,0.001422,neutral,neutral
T3A-0438,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.006010,0.016337,neutral,neutral
T3A-0007,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000856,0.002672,neutral,neutral
T3A-1023,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.011674,0.049920,neutral,neutral
T3A-0503,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002683,0.000798,neutral,neutral
T3A-0870,reading_2,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.095994,0.717862,neutral,entailment
T3A-0584,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001406,0.002542,contradiction,contradiction
T3A-0746,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000837,0.001489,neutral,neutral
T3A-0759,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000986,0.003678,neutral,neutral
T3A-0367,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000667,0.001466,neutral,neutral
T3A-0095,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.025116,0.019805,neutral,neutral
T3A-0005,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.073223,0.148460,contradiction,neutral
T3A-0200,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.046499,0.034836,neutral,neutral
T3A-0998,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.168400,0.061289,neutral,neutral
T3A-0456,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.017259,0.001547,neutral,neutral
T3A-0325,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.336933,0.001006,neutral,neutral
T3A-0801,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000857,0.004780,neutral,neutral
T3A-0209,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.022833,0.003354,neutral,neutral
T3A-0636,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.015608,0.003129,neutral,neutral
T3A-0216,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.010124,0.003530,neutral,neutral
T3A-0896,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002253,0.001488,neutral,neutral
T3A-0823,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.155964,0.303066,neutral,neutral
T3A-0271,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.039101,0.005301,neutral,neutral
T3A-0219,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.005905,0.019815,neutral,neutral
T3A-0953,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.003458,0.001983,neutral,neutral
T3A-0276,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001346,0.001762,neutral,neutral
T3A-0223,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002255,0.051828,neutral,neutral
T3A-0658,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.054897,0.170488,neutral,neutral
T3A-0891,both_or_ambiguous,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.993116,0.994258,entailment,entailment
T3A-0132,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.014294,0.007776,neutral,neutral
T3A-0351,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000792,0.000750,neutral,neutral
T3A-0730,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.000821,0.000865,neutral,neutral
T3A-0907,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001618,0.007056,neutral,neutral
T3A-1085,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002112,0.000961,neutral,neutral
T3A-0413,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.002215,0.001355,neutral,neutral
T3A-0677,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.004711,0.004585,neutral,neutral
T3A-0183,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001581,0.003638,neutral,neutral
T3A-0036,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.004145,0.003723,neutral,neutral
T3A-0010,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.130467,0.167641,neutral,neutral
T3A-0660,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001077,0.001091,neutral,neutral
T3A-0011,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.086165,0.122637,neutral,neutral
T3A-0667,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.012478,0.018827,neutral,neutral
T3A-0751,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.010677,0.006664,neutral,neutral
T3A-1029,neither_or_invalid,auto_nli_roberta-large-mnli; threshold=0.5; not_human_annotation,0.001091,0.011703,neutral,neutral
