blind_id,instance_id,model_blind,ambiguous_sentence,ambiguity_side,gold_reading_1,gold_reading_2,gold_readings_extra,continuation,human_label,notes
T3A-0334,84972,Model A,It can be inferred from this that he is not interested in the meeting.,premise,This shows that he is not interested in the meeting.,One might infer from this that he is not interested in the meeting.,,This means that he is not interested in the meeting.,,
T3A-0224,35_c,Model A,She wants to work with the professor with the best reputation in the department.,hypothesis,She wants to work with whichever professor in the department has the best reputation.,She wants to work with a professor who happens to have the best reputation in the department.,,1.,,
T3A-0201,65235,Model B,I'm not at all sure that I want to go.,premise,It's not the case that I'm sure that I want to go.,"I'm not at all sure that I want to go, and not sure that I don't want to go.",,I feel so tired and lethargic.,,
T3A-0004,104020,Model A,The vote was close because many people were undecided.,premise,The vote was close because many people were unsure of their vote.,The vote was close because many people abstained due to indecision.,,"Finally, Trump was declared the winner of the election.",,
T3A-0793,56366,Model B,This isn't just a simple task.,premise,This isn't a simple task.,"This is a simple task, and not just that.",,2.2.10!,,
T3A-0881,90_c,Model B,Carolyn had talked to two senators.,premise,Carolyn had talked to exactly two senators.,Carolyn had talked to at least two senators.,,The senators were liberal.,,
T3A-0596,69709,Model A,"The new hospital is close to the interstate, making it easy for patients to get there.",premise,"The new hospital is close to the interstate, making it easy for patients to get to the hospital.","The new hospital is close to the interstate, making it easy for patients to get to the interstate.",,Settings: Close to the interstate.,,
T3A-1006,27067,Model A,The study found that half of all Americans are in favor of gun control.,hypothesis,The study found that about half of all Americans are in favor of gun control.,The study found that exactly half of all Americans are in favor of gun control.,,"But, 45% of them were still in favor of gun rights.",,
T3A-0748,59560,Model A,The poet laureate is a position given to a poet by a government or institution.,hypothesis,The poet laureate is a title given to a poet by a government or institution.,The poet laureate is a job given to a poet by a government or institution.,,The appointment of the Poet Laureate for Wales is made by the First Minister of Wales.,,
T3A-0422,42470,Model A,I can't believe that he actually did it.,premise,I can't believe the fact that he actually did it.,I can't believe the possibility that he actually did it.,,"The best part is that he's doing it in good taste, and he's going to keep all of the credits.",,
T3A-0645,43732,Model B,The main goal is to find a cure for cancer.,premise,"The main goal is to find a cure for cancer as a disease, which may include preventing cancer in the first place.",The main goal is to find a cure for cancer after it has developed in the body.,,"100% of the proceeds from Cancer Unwrapped go to the grills fundraising and awareness efforts have raised over,000 in their first three years and expect to raise",,
T3A-1049,94677,Model B,"In many ways, the American Revolution was a direct result of the Seven Years' War.",premise,"In many ways, though possibly not all ways, the American Revolution was a direct result of the Seven Years' War.","In many ways, though not all ways, the American Revolution was a direct result of the Seven Years' War.",,"37 0 obj Britain Needs to Expel the French, Absolute Monarchy 1733 Words | 7 Pages, The French and Indian War Important Battle of",,
T3A-0791,10452,Model B,It is clear that our current education system is not preparing students for the real world.,premise,"It is clear that our current education system is not preparing students for the real world, which it should do.","It is clear that our current education system is not preparing students for the real world, whether or not that should be the aim.",,"Instead, it's preparing them for the world that they are taught to think exists when they aren't in school.",,
T3A-0140,120_c,Model A,She needed to know only what he told her.,premise,He is the only one who told her what she needed to know.,What he told her is all she needed to know.,,A.,,
T3A-0543,8_c,Model B,He gave me a start.,premise,He gave me a head start.,He startled me.,,100% old-world vampire.,,
T3A-0950,29_c,Model A,Tanaka and Lilian built a cabin.,premise,Tanaka and Lilian each built a cabin.,Tanaka and Lilian built a cabin together.,,"1885, 1886, 1887, 1888, 1889, 18",,
T3A-0001,19_c,Model B,I hope there are more interactive exhibits in the museum.,premise,I hope there are more exhibits that are interactive in the museum.,I hope there are exhibits that are more interactive in the museum.,,The exhibit about Dr.,,
T3A-0722,77368,Model A,It is becoming increasingly difficult to find people who have not been affected by the change.,premise,It is becoming increasingly difficult to locate people who have not been affected by the change.,People who have not been affected by the change are becoming increasingly rare.,,"I don't think it's the end of the world, I sort of just think that it's going to be a bit different.",,
T3A-0237,79603,Model B,The easiest way to solve the problem is to call a meeting.,premise,"The easiest way to solve the problem is to call a meeting, but there are other ways.","The easiest way to solve the problem, perhaps the only way, is to call a meeting.",,What we discover each time we do this is that we need a carefully prepared agenda.,,
T3A-0837,82498,Model B,A review of the literature indicates that there is a great deal of research on the topic of job satisfaction.,premise,Reviewing the literature would reveal that there is a great deal of research on the topic of job satisfaction.,A particular review of the literature indicates that there is a great deal of research on the topic of job satisfaction.,,"0000023999 00000 n In order to reach this goal, you must have a philosophy of life, a philosophy of motivation, and a philosophy of",,
T3A-0353,45281,Model B,The novel has been translated into more than twenty languages.,premise,The novel has been translated into just over twenty languages.,"The novel has been translated into more than twenty languages, possibly many more.",,27 likes.,,
T3A-0576,14603,Model A,I have a lot of friends who are artists.,premise,"I have a lot of friends who are artists, whether or not all of them are.","I have a lot of friends who are artists, though not all of them are.",,"They make music, paint, sculpt, write poetry, do theater, model, animate, and so on.",,
T3A-0581,62_c,Model B,"The market was empty of pork, grains, and all foods that were banned.",premise,"The market was empty of pork, grains, as well as all foods that were banned.","The market was empty of pork and grains, and all other foods that were banned.",,"There were no posters, no banners, and no one was yelling to the soldiers or even the brahma army.",,
T3A-0335,60164,Model B,I don't know if I should tell her the truth.,premise,I don't know if I should tell her the truth or a lie.,"I don't know if I should tell her the truth, or tell her nothing at all.",,I'm so utterly REFRESHED after two days of seeing no one but work friends and physicians.,,
T3A-0802,34144,Model A,It takes less than two weeks for the flu to run its course.,hypothesis,It takes slightly less than two weeks for the flu to run its course.,It takes substantially less than two weeks for the flu to run its course.,,"It can take longer for a cold, but not that much longer.",,
T3A-1043,76574,Model B,The dog's owner decided to put the dog down because it was too old and sick.,premise,The dog's owner decided to put the dog down solely because it was too old and sick.,The dog's owner decided to put the dog down partly because it was too old and sick.,,10-month-old male beagle in need of $1K neuter surgery rewarded with stuffed animal,,
T3A-0179,49222,Model B,It is not unheard of for a business to make a profit in its first year.,premise,"It is unexpected, but not unheard of, for a business to make a profit in its first year.",There are known cases where a business makes a profit in its first year.,"There are cases where a business makes a profit in its first year, in addition to cases where they make a loss.","In general, we recommend that businesses not attempt this feat.",,
T3A-0030,95_c,Model A,People who are funny naturally use humor to build connections.,premise,People who are naturally funny use humor to build connections.,Funny people naturally use humor to build connections.,,"They use jokes, wit, reflection, tone, and other techniques to make the audience feel related to and listened to.",,
T3A-1072,61597,Model A,The first step to take if you want to improve your writing is to read more.,premise,"Since you want to improve your writing, the first step to take is to read more.","In the case that you want to improve your writing, the first step to take is to read more.",,"If you are not reading a wide variety of material, you won't be able to get the most out of your writing time.",,
T3A-1073,42_c,Model B,No bathroom bill made it to Abbott’s desk by the end of the legislative session in May.,premise,"Of the bills that made it to Abbott’s desk by the end of the legislative session in May, none of them were bathroom bills.","No bathroom bill made it to Abott's desk by the end of the legislative session in May, whether or not other bills did.",,"52 Other bills also failed to make it to the floor for a vote – The Texas Senate did pass House Bills 2554 and 1812 ; however,",,
T3A-1017,86_c,Model B,The Taiwanese leopard is spotted for the first time in a half century.,hypothesis,The Taiwanese leopard is seen for the first time in a half century.,The Taiwanese leopard has spots for the first time in a half century.,,"1998 Researchers have found one of Taiwanâ€TMs rarest animals, the leopard cat, which has not been seen for 50 years.",,
T3A-0418,129_c,Model A,He told me he ate the leftovers yesterday.,premise,"He told me that yesterday, he ate the leftovers.",He told me yesterday that he ate the leftovers.,,He was sick at the end of the day.,,
T3A-0714,130_c,Model A,He told me the issue was resolved yesterday.,premise,"He told me that yesterday, the issue was resolved.",He told me yesterday that the issue was resolved.,,I check the status about 3 hours later and I see that the issue is still there.,,
T3A-0805,13321,Model B,Inflation is often caused by an increase in the money supply.,premise,"Inflation is often, but not always, caused by an increase in the money supply.","Inflation is often, perhaps always, caused by an increase in the money supply.",,"During periods when recipients of government fiscal stimulus programs use the checks they receive to buy luxuries like flat-screen TVs and European vacation packages, inflation shoots up.",,
T3A-0741,103037,Model B,It is important to remember that you are not alone.,premise,It is important to remember that you are not physically alone.,It is important to remember that you are not figuratively alone in this situation.,,Phobia Anxiety forum is a platform that can offer comfort and guidance to those affected by anxiety disorders or phobias.,,
T3A-0932,36_c,Model A,She wants to work with the professor with the largest lab in the department.,hypothesis,She wants to work with whichever professor in the department has the largest lab.,She wants to work with a professor who happens to have the largest lab in the department.,,A.,,
T3A-0926,71932,Model A,"I was uninterested in the book, and didn't finish it.",premise,"I was uninterested in the book, and didn't finish it (not to address the question of whether I started it at all).","I was uninterested in the book, and didn't finish it despite starting.",,"The plot was kind of clear and boring, and the writing was just okay.",,
T3A-0925,71932,Model B,"I was uninterested in the book, and didn't finish it.",premise,"I was uninterested in the book, and didn't finish it (not to address the question of whether I started it at all).","I was uninterested in the book, and didn't finish it despite starting.",,I had already read the trilobite section before going into the bestiary section...,,
T3A-0069,81333,Model B,It was as if she had been possessed by a demon.,premise,She was acting like she had been possessed by a demon.,"It was as if she had been possessed by a demon, though she was not.",,"While we were in the car going home after the funeral of her youngest brother she declared, I want to buy a home and have a decent life.",,
T3A-0600,16873,Model A,They have to leave early in order to make it on time.,hypothesis,They will have to leave early in order to make it on time.,"Generally, they have to leave early in order to make it on time.",,How much time earlier should they leave?,,
T3A-0808,27825,Model A,You cannot be helped by anyone with this.,hypothesis,There is no one who can help you with this.,You cannot be helped by simply anyone with this; it has to be someone particular.,,This is something you need to do.,,
T3A-0439,17416,Model B,A number of my friends have been affected by the recent lay-offs.,premise,"A number of my friends, though not all of them, have been affected by the recent lay-offs.","A number of my friends, possibly all of them, have been affected by the recent lay-offs.",,"After what I have seen and experienced, I feel at a loss to ...",,
T3A-0638,102411,Model A,The teacher told the students that they could pass the class if they worked hard.,hypothesis,The teacher told the students that they would be able to pass the class if they worked hard.,The teacher told the students that they might pass the class if they worked hard.,,80% of the students passed the class.,,
T3A-0989,89750,Model B,I'm not saying that the government is responsible for the current state of affairs.,premise,"I'm not saying that the government is responsible for the current state of affairs, because it's not.","I'm not claiming that the government is responsible for the current state of affairs, which may or may not be true.",,Not me.,,
T3A-0306,9763,Model A,People should be aware of the dangers of not properly securing their load.,hypothesis,People ought to be aware of the dangers of not properly securing their load.,People are probably aware of the dangers of not properly securing their load.,,I think most people are aware of the dangers of driving over the speed limit.,,
T3A-0206,80_c,Model A,The speaker is at the front of the room.,premise,The loudspeaker is at the front of the room.,The person who is speaking is at the front of the room.,,"Thus, the back of the room is 60 feet away from the front of the room.",,
T3A-0218,102690,Model A,"It was raining, so I stayed home.",premise,"It was raining, so I stayed home; otherwise I would have gone outside.","It was raining, so I stayed home, though there may have been other reasons too.",,根据句意用括号内所给词的适当形式填空。 答案:Seeing Seeing.,,
T3A-0642,33756,Model A,The government needs to be more transparent in order to gain the public's trust.,premise,The government is not transparent and needs to be more transparent in order to gain the public's trust.,"The government needs to be more transparent, even when it may already be transparent, in order to gain the public's trust.",,A.,,
T3A-0700,93445,Model A,"I'm afraid that if we don't take action soon, it will be too late.",premise,"I fear that if we don't take action soon, it will be too late.","I'm sorry to say that if we don't take action soon, it will be too late.",,Question: What does the man think about the plane?,,
T3A-0768,89448,Model A,It is hard to believe that a show that was once so popular is now struggling to find viewers.,premise,It is hard to believe the fact that a show that was once so popular is now struggling to find viewers.,It is doubtful that a show that was once so popular is now struggling to find viewers.,,I think this is due to the rise of the younger generation and the impact of technology.,,
T3A-0100,26742,Model A,It is not clear whether the city will be able to attract enough businesses to fill all the available space.,premise,It is not clear whether the city would attract enough businesses to fill all the available space.,It is not clear whether the city will fulfill its goal of attracting enough businesses to fill all the available space.,,"Additionally, the city may face competition from other cities that are developing similar plans.",,
T3A-0393,83487,Model B,Some of the students in the class got an A on the test.,hypothesis,"Some of the students in the class got an A on the test, and others did not.",At least some of the students in the class got an A on the test.,,4 students did not get an A.,,
T3A-0997,45595,Model B,Some of the lights were out.,hypothesis,"Some of the lights were out, others were on.",At least some of the lights were out.,,But who was going to notice in the decrepit old XSLT cafeteria?,,
T3A-0924,4728,Model A,The flu virus is spreading rapidly.,hypothesis,The flu virus is spreading rapidly among the population.,The flu virus is spreading rapidly in the environment.,,A.,,
T3A-0962,19306,Model A,I don't think that's a very good idea.,premise,I think that's a bad idea.,"I don't think that's a very good idea, but it may not be a bad one.",,"I think the adoption of the Internet, and by extension the use of computers, will be a major factor in the success of our country.",,
T3A-0234,68210,Model A,They wanted to make a statement about the way that the world is.,premise,The statement they they wanted to make is about the way that the world is.,They wanted to make at least a statement about the way that the world is.,,"That's the point of the movie, really.",,
T3A-0762,32203,Model A,The company's new product is projected to increase sales by 20%.,premise,"The company's new product, if successful, is projected to increase sales by 20%.","The company's new product is projected to increase sales by 20%, though this may not depend on the product's success.",,The company plans to maintain a 10% profit margin on sales.,,
T3A-0729,9678,Model B,They will also be asked to decide whether the verdict should be set aside.,premise,They will also be asked to decide whether the verdict is still valid.,They will also be asked to decide whether the verdict should be set aside temporarily.,,8 a.m.,,
T3A-1012,25971,Model A,The study found that the best way to prevent bullying is to have a zero-tolerance policy.,premise,The study concluded that the best way to prevent bullying is to have a zero-tolerance policy.,It was shown by the study that the best way to prevent bullying is to have a zero-tolerance policy.,,"The study also found that when students saw the effects of bullying, they were less likely to engage in it.",,
T3A-0591,102600,Model B,"After the fire, the family was homeless and had to live in a hotel.",premise,"Due to the fire, the family became homeless and had to live in a hotel.","In the time after the fire, the family was homeless and had to live in a hotel.",,3man 3 1/2 years later they are still in a hotel.,,
T3A-0388,29252,Model A,I'm not sure if I understand.,premise,"I don't understand, unfortunately.",I'm not sure whether I understand or don't understand.,,"So, what's the root of the problem?",,
T3A-1075,6_c,Model B,I am not smart because I did a PhD.,premise,I am not necessarily smart just because I did a PhD.,"I am not smart, because I did a PhD.","I am smart, but not because I did a PhD.",4 years where pretence domination.,,
T3A-1077,6813,Model B,They have a lot of friends in common.,premise,"They have a lot of friends in common, though they are not friends directly.","They have a lot of friends in common, whether or not they are friends themselves.",,She meets many people in the fashion industry.,,
T3A-0424,99712,Model A,The fact that he was able to do it without any training is a testament to his natural ability.,premise,The fact that he was able to do it without any training is a testament to his natural ability alone.,The fact that he was able to do it without any training is a testament to his natural ability and possibly other attributes.,,He had to be able to analyze and predict the next move.,,
T3A-0942,39059,Model A,I am going to pick up my brother from school.,premise,I am going to pick up just my brother from school.,"I am going to pick up my brother from school, possibly among others.",,I am going to buy groceries.,,
T3A-0172,11049,Model A,I'm not going to the party because I don't know anyone there.,premise,"I'm not going to the party because I don't know anyone there, among other possible reasons.","I'm not going to the party, solely because I don't know anyone there.",,It's not because I don't want to socialize.,,
T3A-0120,10_c,Model A,"Since I took office, Wisconsin now has the 2nd highest health care quality ranking in the country.",premise,"In the time since I took office, Wisconsin's highest health care quality ranking has improved to 2nd in the country.",I have taken office. Wisconsin currently has the 2nd highest health quality ranking in the country.,,"I continue to fight for all Wisconsines, even in the face of a Republican legislature and the only Republican governor, in the history of the state,",,
T3A-0027,40798,Model B,The highway will connect the two cities.,hypothesis,The highway is expected to connect the two cities.,The highway will certainly connect the two cities.,,5.5 km longer than first proposal.,,
T3A-0281,45_c,Model B,The turkey is ready to eat.,premise,The turkey is ready to be eaten.,The turkey is ready to be fed.,,It's been brined.,,
T3A-0249,13512,Model B,I'm afraid the cat was hit by a car.,premise,I'm sorry to share that the cat was hit by a car.,I'm worried that the cat was hit by a car.,,What about staying with Uncle Jim?,,
T3A-0980,64029,Model A,"According to the latest reports, the number of people who are unemployed in the United States has reached a record high.",premise,"As shown by the latest reports, the number of people who are unemployed in the United States has reached a record high.","At least acccording to the latest reports, the number of people who are unemployed in the United States has reached a record high.",,More than 14 million people are out of work.,,
T3A-0628,45090,Model A,We must work together to ensure that all children have the opportunity to reach their full potential.,premise,"We must work together to ensure that all children have the opportunity to reach their full potential, whether or not that's already true.","We must work together to ensure that all children have the opportunity to reach their full potential, as opposed to the current state of affairs.",,"A: Yes, indeed.",,
T3A-1034,28157,Model A,They may be moving to a new house next month.,hypothesis,They have a non-zero chance of moving to a new house next month.,They may or may not be moving to a new house next month.,,Question: Where will the woman live?,,
T3A-0577,94_c,Model B,She said that she will pick me up at 4pm and I can leave at 6pm.,premise,She said that she will pick me up at 4pm and that I can leave at 6pm.,She said that she will pick me up at 4pm; I can leave at 6pm.,,"15 minutes before the pick-up time, I thought 6pm was but of a coincident but just leave at 5.30pm.",,
T3A-0914,139_c,Model A,I can't remember when I last saw her.,premise,I can't remember when I last saw her; it has been a long time.,I can't recall when I last saw her.,,I can't remember when I last spoke to her.,,
T3A-0838,82498,Model A,A review of the literature indicates that there is a great deal of research on the topic of job satisfaction.,premise,Reviewing the literature would reveal that there is a great deal of research on the topic of job satisfaction.,A particular review of the literature indicates that there is a great deal of research on the topic of job satisfaction.,,Many studies have examined the relationship between work hours and job satisfaction.,,
T3A-0032,104_c,Model A,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",premise,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic — maybe even the only authentic — papyrus are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.","Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country. Though there are many places that sell authentic papyrus, some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",,The best place to buy papyrus in Egypt is at the Pharaonic Village in Cairo.,,
T3A-0743,101372,Model B,I am getting more and more tired.,premise,I am becoming more and more in need of rest.,I am becoming more and more uninterested.,,But the furnishings are coming along.,,
T3A-0062,15613,Model A,He had a difficult time understanding her because of her strong accent.,premise,He had a difficult time understanding her simply because of her strong accent.,He had a difficult time understanding her at least in part because of her strong accent.,,解析: 1.,,
T3A-1057,9368,Model B,He was very happy.,hypothesis,He was a very happy person.,He was very happy at the party.,,Receipt of those things is a great gift - Nikodim,,
T3A-0836,43557,Model A,They were close to finding a cure for the disease.,premise,"They were close to finding a cure for the disease, which may or may not exist.","They were close to finding a cure for the disease, which exists.",,"But then, something went wrong in the lab.",,
T3A-0443,75278,Model B,He's not very well off.,premise,He's not very financially well off.,He's not in a very good situation.,,你的经济状况不太好。 He's not very well.,,
T3A-0994,26980,Model A,"Because of the drought, the city's water supply will run out in two months.",premise,"Because of the drought, the city's water supply will run out within two months.","Because of the drought, the city's water supply will run out in exactly two months.",,Each person needs 10 gallons of water per day.,,
T3A-0442,95988,Model A,The novel has not been banned in many schools.,hypothesis,There are many schools where the novel has not been banned.,It is not the case that the novel has been banned in many schools.,,"Change the meaning of the sentence: The novel has not been banned in many schools, but it has not been banned in some schools.",,
T3A-0534,10829,Model A,The company has decided to get rid of its customer service department.,hypothesis,The company has decided to get rid of its existing customer service department.,The company has decided to no longer have a customer service department.,,What is the sentiment of the company getting rid of the customer service department?,,
T3A-0967,132_c,Model B,A woman in this neighborhood gives birth every year.,premise,There is a particular woman in this neighborhood who gives birth every year.,"Every year, some woman in this neighborhood gives birth.",,22 years ago she had her first child.,,
T3A-0112,32945,Model A,The media holds the powerful accountable.,hypothesis,The media holds the powerful accountable in reality.,The media functions to hold the powerful accountable.,,"I haven't been to Brand in a few years, but I'm sure the situation there is much better than it was before.",,
T3A-0444,75278,Model A,He's not very well off.,premise,He's not very financially well off.,He's not in a very good situation.,,He has a car and a nice apartment but that's about it.,,
T3A-0409,114_c,Model B,"The professor admitted that no students wrote course evaluations, which is surprising.",premise,It is surprising that the professor admitted that no students wrote course evaluations.,The professor admitted the surprising fact that no students wrote course evaluations.,,He attributes this to his ineptitude in grading quizzes and tests – he sometimes graded like a fool (his words).,,
