blind_id,instance_id,model_blind,actual_model,source_file,original_continuation_index
T3A-0043,101528,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,60
T3A-0044,101528,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,78
T3A-0045,28632,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,98
T3A-0046,28632,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,9
T3A-0047,97_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,58
T3A-0048,97_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,54
T3A-0049,64918,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,80
T3A-0050,64918,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,73
T3A-0051,96245,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,24
T3A-0052,96245,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,91
T3A-0053,28059,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,89
T3A-0054,28059,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,49
T3A-0055,37924,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,63
T3A-0056,37924,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,51
T3A-0057,63905,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,31
T3A-0058,63905,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,18
T3A-0059,98877,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,83
T3A-0060,98877,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,88
T3A-0061,15613,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,0
T3A-0062,15613,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,96
T3A-0063,72662,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,98
T3A-0064,72662,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,13
T3A-0065,119_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,99
T3A-0066,119_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,54
T3A-0067,32403,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,28
T3A-0068,32403,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,22
T3A-0069,81333,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,89
T3A-0070,81333,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,66
T3A-0071,31825,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,59
T3A-0072,31825,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,6
T3A-0073,56909,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,71
T3A-0074,56909,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,31
T3A-0075,24621,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,15
T3A-0076,24621,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,58
T3A-0077,7642,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,17
T3A-0078,7642,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,59
T3A-0079,103542,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,85
T3A-0080,103542,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,67
T3A-0081,69139,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,71
T3A-0082,69139,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,76
T3A-0083,40091,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,40
T3A-0084,40091,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,96
T3A-0085,49953,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,56
T3A-0086,49953,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,78
T3A-0087,128_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,92
T3A-0088,128_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,64
T3A-0089,92_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,54
T3A-0090,92_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,70
T3A-0091,86796,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,57
T3A-0092,86796,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,20
T3A-0093,34616,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,95
T3A-0094,34616,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,60
T3A-0095,112_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,57
T3A-0096,112_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,33
T3A-0097,52155,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,96
T3A-0098,52155,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,31
T3A-0099,26742,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,81
T3A-0100,26742,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,35
T3A-0101,78442,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,98
T3A-0102,78442,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,99
T3A-0103,59262,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,66
T3A-0104,59262,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,62
T3A-0105,57_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,80
T3A-0106,57_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,30
T3A-0107,83828,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,35
T3A-0108,83828,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,56
T3A-0109,82241,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,9
T3A-0110,82241,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,91
T3A-0111,32945,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,36
T3A-0112,32945,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,30
T3A-0113,54419,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,34
T3A-0114,54419,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,42
T3A-0115,16747,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,40
T3A-0116,16747,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,69
T3A-0117,67165,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,10
T3A-0118,67165,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,17
T3A-0119,10_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,19
T3A-0120,10_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,29
T3A-0121,103802,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,49
T3A-0122,103802,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,88
T3A-0123,61912,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,19
T3A-0124,61912,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,90
T3A-0125,20021,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,27
T3A-0126,20021,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,8
T3A-0127,7366,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,53
T3A-0128,7366,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,52
T3A-0129,26524,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,42
T3A-0130,26524,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,69
T3A-0131,92619,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,59
T3A-0132,92619,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,53
T3A-0133,81678,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,7
T3A-0134,81678,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,26
T3A-0135,21194,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,53
T3A-0136,21194,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,49
T3A-0137,82431,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,98
T3A-0138,82431,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,74
T3A-0139,120_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,89
T3A-0140,120_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,2
T3A-0141,34748,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,97
T3A-0142,34748,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,73
T3A-0143,98907,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,48
T3A-0144,98907,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,61
T3A-0145,39987,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,0
T3A-0146,39987,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,45
T3A-0147,59939,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,38
T3A-0148,59939,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,96
T3A-0149,79580,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,49
T3A-0150,79580,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,53
T3A-0151,32_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,68
T3A-0152,32_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,95
T3A-0153,1438,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,94
T3A-0154,1438,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,69
T3A-0155,33_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,77
T3A-0156,33_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,28
T3A-0157,32270,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,62
T3A-0158,32270,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,28
T3A-0159,17_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,34
T3A-0160,17_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,55
T3A-0161,63784,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,62
T3A-0162,63784,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,3
T3A-0163,24870,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,49
T3A-0164,24870,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,43
T3A-0165,66_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,85
T3A-0166,66_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,86
T3A-0167,64_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,51
T3A-0168,64_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,93
T3A-0169,60437,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,21
T3A-0170,60437,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,59
T3A-0171,11049,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,16
T3A-0172,11049,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,79
T3A-0173,57079,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,68
T3A-0174,57079,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,3
T3A-0175,85938,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,50
T3A-0176,85938,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,75
T3A-0177,14789,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,72
T3A-0178,14789,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,84
T3A-0179,49222,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,3
T3A-0180,49222,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,10
T3A-0181,93283,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,82
T3A-0182,93283,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,54
T3A-0183,22300,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,17
T3A-0184,22300,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,59
T3A-0185,85445,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,23
T3A-0186,85445,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,6
T3A-0187,40614,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,33
T3A-0188,40614,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,48
T3A-0189,9271,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,41
T3A-0190,9271,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,27
T3A-0191,24960,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,59
T3A-0192,24960,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,41
T3A-0193,5_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,43
T3A-0194,5_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,97
T3A-0195,6566,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,48
T3A-0196,6566,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,35
T3A-0197,53095,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,96
T3A-0198,53095,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,54
T3A-0199,19099,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,32
T3A-0200,19099,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,11
T3A-0201,65235,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,60
T3A-0202,65235,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,2
T3A-0203,29853,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,95
T3A-0204,29853,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,69
T3A-0205,80_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,6
T3A-0206,80_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,44
T3A-0207,72_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,28
T3A-0208,72_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,83
T3A-0209,73923,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,8
T3A-0210,73923,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,99
T3A-0211,105_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,83
T3A-0212,105_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,5
T3A-0213,20187,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,96
T3A-0214,20187,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,3
T3A-0215,77608,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,31
T3A-0216,77608,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,25
T3A-0217,102690,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,2
T3A-0218,102690,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,79
T3A-0219,76197,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,19
T3A-0220,76197,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,30
T3A-0221,28269,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,16
T3A-0222,28269,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,60
T3A-0223,35_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,85
T3A-0224,35_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,14
T3A-0225,24928,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,72
T3A-0226,24928,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,27
T3A-0227,10932,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,59
T3A-0228,10932,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,89
T3A-0229,18036,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,32
T3A-0230,18036,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,98
T3A-0231,53650,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,47
T3A-0232,53650,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,21
T3A-0233,68210,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,77
T3A-0234,68210,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,77
T3A-0235,96088,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,95
T3A-0236,96088,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,91
T3A-0237,79603,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,14
T3A-0238,79603,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,99
T3A-0239,61198,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,20
T3A-0240,61198,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,39
T3A-0241,45244,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,13
T3A-0242,45244,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,74
T3A-0243,35721,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,3
T3A-0244,35721,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,39
T3A-0245,60212,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,73
T3A-0246,60212,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,86
T3A-0247,40028,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,48
T3A-0248,40028,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,50
T3A-0249,13512,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,91
T3A-0250,13512,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,25
T3A-0251,93654,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,9
T3A-0252,93654,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,75
T3A-0253,13489,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,88
T3A-0254,13489,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,80
T3A-0255,22376,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,31
T3A-0256,22376,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,13
T3A-0257,70966,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,89
T3A-0258,70966,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,98
T3A-0259,53392,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,38
T3A-0260,53392,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,87
T3A-0261,4_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,76
T3A-0262,4_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,15
T3A-0263,24411,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,72
T3A-0264,24411,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,5
T3A-0265,70_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,44
T3A-0266,70_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,68
T3A-0267,55037,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,54
T3A-0268,55037,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,84
T3A-0269,3760,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,47
T3A-0270,3760,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,8
T3A-0271,54_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,64
T3A-0272,54_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,82
T3A-0273,35782,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,43
T3A-0274,35782,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,1
T3A-0275,90370,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,53
T3A-0276,90370,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,62
T3A-0277,87325,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,13
T3A-0278,87325,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,55
T3A-0279,133_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,46
T3A-0280,133_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,81
T3A-0281,45_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,58
T3A-0282,45_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,90
T3A-0283,44_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,19
T3A-0284,44_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,55
T3A-0285,116_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,22
T3A-0286,116_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,93
T3A-0287,71750,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,66
T3A-0288,71750,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,83
T3A-0289,103_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,34
T3A-0290,103_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,78
T3A-0291,12406,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,68
T3A-0292,12406,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,99
T3A-0293,13988,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,61
T3A-0294,13988,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,59
T3A-0295,91_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,55
