blind_id,instance_id,model_blind,actual_model,source_file,original_continuation_index
T3A-0024,25701,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,24
T3A-0025,17497,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,90
T3A-0026,17497,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,8
T3A-0027,17497,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,5
T3A-0028,17497,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,84
T3A-0029,1502,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,29
T3A-0030,1502,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,98
T3A-0031,1502,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,37
T3A-0032,1502,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,10
T3A-0033,8101,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,29
T3A-0034,8101,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,12
T3A-0035,8101,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,48
T3A-0036,8101,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,35
T3A-0037,108_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,58
T3A-0038,108_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,81
T3A-0039,108_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,46
T3A-0040,108_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,20
T3A-0041,107_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,47
T3A-0042,107_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,45
T3A-0043,107_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,26
T3A-0044,107_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,85
T3A-0045,16316,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,34
T3A-0046,16316,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,89
T3A-0047,16316,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,87
T3A-0048,16316,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,82
T3A-0049,38194,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,9
T3A-0050,38194,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,77
T3A-0051,38194,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,81
T3A-0052,38194,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,21
T3A-0053,40798,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,68
T3A-0054,40798,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,93
T3A-0055,40798,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,31
T3A-0056,40798,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,20
T3A-0057,95_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,59
T3A-0058,95_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,48
T3A-0059,95_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,34
T3A-0060,95_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,81
T3A-0061,104_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,88
T3A-0062,104_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,71
T3A-0063,104_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,28
T3A-0064,104_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,87
T3A-0065,3578,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,41
T3A-0066,3578,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,98
T3A-0067,3578,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,7
T3A-0068,3578,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,29
T3A-0069,79_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,4
T3A-0070,79_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,40
T3A-0071,79_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,51
T3A-0072,79_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,34
T3A-0073,38708,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,8
T3A-0074,38708,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,27
T3A-0075,38708,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,72
T3A-0076,38708,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,91
T3A-0077,84765,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,40
T3A-0078,84765,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,27
T3A-0079,84765,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,86
T3A-0080,84765,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,66
T3A-0081,52_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,50
T3A-0082,52_c,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,82
T3A-0083,52_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,58
T3A-0084,52_c,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,18
T3A-0085,101528,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,33
T3A-0086,101528,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,17
T3A-0087,101528,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,31
T3A-0088,101528,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,95
T3A-0089,28632,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,71
T3A-0090,28632,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,68
T3A-0091,28632,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,33
T3A-0092,28632,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,95
T3A-0093,64918,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,74
T3A-0094,64918,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,54
T3A-0095,64918,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,74
T3A-0096,64918,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,51
T3A-0097,28059,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,46
T3A-0098,28059,Model B,llama,results\task3\no_trailing_quotes\llama8b_ambiguous.json,28
T3A-0099,28059,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,17
T3A-0100,28059,Model A,llada,results\task3\no_trailing_quotes\llada8b_ambiguous.json,65
