blind_id,instance_id,model_blind,ambiguous_sentence,ambiguity_side,gold_reading_1,gold_reading_2,gold_readings_extra,continuation,human_label,notes
T3A-0047,16316,Model A,I don't think that the restaurant is very clean.,premise,I don't think that the restaurant is especially clean.,I think the restaurant is dirty.,,It is clear that I don't think that the restaurant is clean.,,
T3A-0019,391,Model A,"Even if you study hard, you can't expect to get an A on the test.",premise,"Even if you study hard, you can't expect to get an A on the test, though it is possible.","Even if you study hard, you can't expect to get an A on the test; it may or may not be possible.",,"Prefer: Even if you study hard, you can't expect to get an A on the test.",,
T3A-0057,95_c,Model B,People who are funny naturally use humor to build connections.,premise,People who are naturally funny use humor to build connections.,Funny people naturally use humor to build connections.,,This is great!,,
T3A-0076,38708,Model A,I wonder how he got the job.,premise,I don't know the process he went through to get the job.,I am skeptical that he was qualified to get the job.,,I wonder if he is pursuing a PHD.,,
T3A-0099,28059,Model A,"The company has been in trouble for some time, and its stock prices have been falling steadily.",premise,"The company has been in trouble for some time, which has caused its stock prices to fall steadily.","The company has been in trouble for some time, and also its stock prices have been falling steadily.",,"The company has been in trouble for some time, and its stock prices have been falling steadily.",,
T3A-0054,40798,Model B,The highway will connect the two cities.,hypothesis,The highway is expected to connect the two cities.,The highway will certainly connect the two cities.,,7km of highway will be built by CSS Pakistan Central Services.,,
T3A-0022,25701,Model B,What we need is a change in attitude.,premise,All we need is a change in attitude.,We need a change in attitude.,,3.,,
T3A-0013,43_c,Model B,Some of the graduates of my program have moved on to other things because the jobs suck.,hypothesis,Only some of the graduates of my program have moved on to other things because the jobs suck.,At least some of the graduates of my program have moved on to other things because the jobs suck.,,"I can understand that (no one should feel trapped, and no one who works hard should feel stuck that far away from the goal).",,
T3A-0063,104_c,Model A,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",premise,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic — maybe even the only authentic — papyrus are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.","Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country. Though there are many places that sell authentic papyrus, some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",,"The papyrus is planted in the grounds of the village's wrapt and hand-painted in the same manner as the ancient papyrus scrolls,",,
T3A-0027,17497,Model A,"In some cases, the company's treasurer may be authorized to borrow funds on behalf of the company.",premise,"In some cases, the company's treasurer might be authorized to borrow funds on behalf of the company.","In some cases, the company's treasurer is allowed to be authorized to borrow funds on behalf of the company.",,"This is often the case with small businesses or non-profit organizations, where the treasurer is also responsible for managing the finances.",,
T3A-0098,28059,Model B,"The company has been in trouble for some time, and its stock prices have been falling steadily.",premise,"The company has been in trouble for some time, which has caused its stock prices to fall steadily.","The company has been in trouble for some time, and also its stock prices have been falling steadily.",,2.,,
T3A-0084,52_c,Model A,Giacomo believes several people in the room are counting cards.,premise,There are several individuals in the room who Giacomo believes to be counting cards.,Giacomo believes there are multiple people in the room counting cards.,,Some people in the room are counting cards.,,
T3A-0058,95_c,Model B,People who are funny naturally use humor to build connections.,premise,People who are naturally funny use humor to build connections.,Funny people naturally use humor to build connections.,,13.,,
T3A-0025,17497,Model B,"In some cases, the company's treasurer may be authorized to borrow funds on behalf of the company.",premise,"In some cases, the company's treasurer might be authorized to borrow funds on behalf of the company.","In some cases, the company's treasurer is allowed to be authorized to borrow funds on behalf of the company.",,9 Birth of the Treasury.,,
T3A-0018,391,Model B,"Even if you study hard, you can't expect to get an A on the test.",premise,"Even if you study hard, you can't expect to get an A on the test, though it is possible.","Even if you study hard, you can't expect to get an A on the test; it may or may not be possible.",,"【UALG】合成代謝 As a matter of fact, it did not occur to me that she was pregnant.",,
T3A-0030,1502,Model B,A study done in 2006 found that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,premise,It was shown by a study done in 2006 that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,A study done in 2006 concluded that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,,35 More recent research continued to show positive results.,,
T3A-0066,3578,Model B,The class will discuss how to write a research paper.,premise,The class is about how to write a research paper.,"The class will, at some point, discuss how to write a research paper.",,Help is offered on the next steps to be done.,,
T3A-0028,17497,Model A,"In some cases, the company's treasurer may be authorized to borrow funds on behalf of the company.",premise,"In some cases, the company's treasurer might be authorized to borrow funds on behalf of the company.","In some cases, the company's treasurer is allowed to be authorized to borrow funds on behalf of the company.",,The treasurer may also use the company's name to borrow funds for the benefit of the company.,,
T3A-0017,391,Model B,"Even if you study hard, you can't expect to get an A on the test.",premise,"Even if you study hard, you can't expect to get an A on the test, though it is possible.","Even if you study hard, you can't expect to get an A on the test; it may or may not be possible.",,1.レーダーショウナンwiki( wiki[randalux.net ] ) 2.ウォーンワークエン( wiki[random,,
T3A-0085,101528,Model B,The students may have to wear uniforms to school.,hypothesis,The students may or may not have to wear uniforms to school.,There is a non-zero chance that the students have to wear uniforms to school.,,The wearing of uniforms is an important part of a school identity.,,
T3A-0036,8101,Model A,Some of the students in the class were given a detention.,hypothesis,Some but not all of the students in the class were given a detention.,At least some of the students in the class were given a detention.,,There are 30 students in the class.,,
T3A-0031,1502,Model A,A study done in 2006 found that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,premise,It was shown by a study done in 2006 that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,A study done in 2006 concluded that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,,It's a study that could be able to apply to the重大资产重组.,,
T3A-0091,28632,Model A,The accident is still a mystery.,hypothesis,What the accident was is still a mystery.,The accident is still shrouded in mystery.,,A.,,
T3A-0089,28632,Model B,The accident is still a mystery.,hypothesis,What the accident was is still a mystery.,The accident is still shrouded in mystery.,,3rd warning.,,
T3A-0072,79_c,Model A,Calvin will honor his father and Otto will too.,premise,Calvin will honor his father and Otto will honor Calvin's father too.,Calvin will honor his father and Otto will honor his own father too.,,He's a good man and he knows his place.,,
T3A-0005,104020,Model B,The vote was close because many people were undecided.,premise,The vote was close because many people were unsure of their vote.,The vote was close because many people abstained due to indecision.,,956 Twitter 4.8 1230 things every girl in a relationship should have a copy of.,,
T3A-0053,40798,Model B,The highway will connect the two cities.,hypothesis,The highway is expected to connect the two cities.,The highway will certainly connect the two cities.,,1/ the Nelumpur- Warangal highway; 2/ Hyderabad to Tirupati highway.,,
T3A-0086,101528,Model B,The students may have to wear uniforms to school.,hypothesis,The students may or may not have to wear uniforms to school.,There is a non-zero chance that the students have to wear uniforms to school.,,55875 Focus Group 55876 Conferences/Workshops 55878 Instruction 55879 Admin & Management 55880 Aptitude Tests/TRBs 558,,
T3A-0006,104020,Model B,The vote was close because many people were undecided.,premise,The vote was close because many people were unsure of their vote.,The vote was close because many people abstained due to indecision.,,Most people could not decide which party they liked best because they liked aspects of both.,,
T3A-0037,108_c,Model B,I've only lived in the northern part of Seattle.,premise,"In Seattle, I've only lived in the northern part.",I haven't lived anywhere in the world besides the northern part of Seattle.,,"By that I mean, North Seattle.",,
T3A-0048,16316,Model A,I don't think that the restaurant is very clean.,premise,I don't think that the restaurant is especially clean.,I think the restaurant is dirty.,,I don't think that the restaurant is very clean.,,
T3A-0004,19_c,Model A,I hope there are more interactive exhibits in the museum.,premise,I hope there are more exhibits that are interactive in the museum.,I hope there are exhibits that are more interactive in the museum.,,"I heard that the museum is already making plans for some of the interactive exhibits, and that they are looking for a company to do the building.",,
T3A-0016,43_c,Model A,Some of the graduates of my program have moved on to other things because the jobs suck.,hypothesis,Only some of the graduates of my program have moved on to other things because the jobs suck.,At least some of the graduates of my program have moved on to other things because the jobs suck.,,I'm in my 30s and I know that they do suck.,,
T3A-0095,64918,Model A,"If a business is doing well, its stock price may increase.",premise,"Even if a business is doing well, its stock price may or may not increase.","If a business is doing well, this would increase the chances that its stock price increases.",,"If a business is doing poorly, its stock price may decrease.",,
T3A-0062,104_c,Model B,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",premise,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic — maybe even the only authentic — papyrus are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.","Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country. Though there are many places that sell authentic papyrus, some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",,1.,,
T3A-0008,104020,Model A,The vote was close because many people were undecided.,premise,The vote was close because many people were unsure of their vote.,The vote was close because many people abstained due to indecision.,,"Finally, Trump won the election by a small margin.",,
T3A-0094,64918,Model B,"If a business is doing well, its stock price may increase.",premise,"Even if a business is doing well, its stock price may or may not increase.","If a business is doing well, this would increase the chances that its stock price increases.",,26 traded as much as 63 % ahead of the BTC Skyrockets.,,
T3A-0032,1502,Model A,A study done in 2006 found that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,premise,It was shown by a study done in 2006 that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,A study done in 2006 concluded that people who read for pleasure on a daily basis had a significantly higher IQ than those who read less frequently.,,"In addition, the study found that people who read for pleasure had more complex thought processes and were able to think more critically and abstractly.",,
T3A-0073,38708,Model B,I wonder how he got the job.,premise,I don't know the process he went through to get the job.,I am skeptical that he was qualified to get the job.,,"20 songs per hour, about 30 s.",,
T3A-0067,3578,Model A,The class will discuss how to write a research paper.,premise,The class is about how to write a research paper.,"The class will, at some point, discuss how to write a research paper.",,"Part A: In the first 30 minutes, the students will discuss how to choose a topic for the research paper.",,
T3A-0082,52_c,Model B,Giacomo believes several people in the room are counting cards.,premise,There are several individuals in the room who Giacomo believes to be counting cards.,Giacomo believes there are multiple people in the room counting cards.,,What are the odds that he's correct?,,
T3A-0070,79_c,Model B,Calvin will honor his father and Otto will too.,premise,Calvin will honor his father and Otto will honor Calvin's father too.,Calvin will honor his father and Otto will honor his own father too.,,"14 Divisima, Tito Sotto, Lito Atienza, Erwin Lanzadera, of AiAi's social class and security",,
T3A-0092,28632,Model A,The accident is still a mystery.,hypothesis,What the accident was is still a mystery.,The accident is still shrouded in mystery.,,A.,,
T3A-0078,84765,Model B,He was a great man and will be missed.,premise,He was a great man while alive and will be missed.,He was a great man when he was around and will be missed.,,"13 Often referred to as the Irish Thinker, Boyle went beyond the Gospel accounts to find ways how humans could acquire the state of grace through their own actions without",,
T3A-0011,51_c,Model A,The teacher wrote a quote from Martin Luther King Jr in every student's yearbook.,premise,The teacher wrote the same quote from Martin Luther King Jr in every student's yearbook.,"The teacher wrote a quote in every student's yearbook, and all the quotes were from Martin Luther King Jr.",,"This year, the quote was I have a dream.",,
T3A-0087,101528,Model A,The students may have to wear uniforms to school.,hypothesis,The students may or may not have to wear uniforms to school.,There is a non-zero chance that the students have to wear uniforms to school.,,The students may wear uniforms to school.,,
T3A-0024,25701,Model A,What we need is a change in attitude.,premise,All we need is a change in attitude.,We need a change in attitude.,,We need to think like Indians.,,
T3A-0010,51_c,Model B,The teacher wrote a quote from Martin Luther King Jr in every student's yearbook.,premise,The teacher wrote the same quote from Martin Luther King Jr in every student's yearbook.,"The teacher wrote a quote in every student's yearbook, and all the quotes were from Martin Luther King Jr.",,"20 years later, this tearful reocnnection happened.",,
T3A-0026,17497,Model B,"In some cases, the company's treasurer may be authorized to borrow funds on behalf of the company.",premise,"In some cases, the company's treasurer might be authorized to borrow funds on behalf of the company.","In some cases, the company's treasurer is allowed to be authorized to borrow funds on behalf of the company.",,"statement, and a Letter of Authorization signed and dated by the authorized signatory, stating In accordance with 31 USC § 5324, please be advised",,
T3A-0039,108_c,Model A,I've only lived in the northern part of Seattle.,premise,"In Seattle, I've only lived in the northern part.",I haven't lived anywhere in the world besides the northern part of Seattle.,,It's a good place to live.,,
T3A-0014,43_c,Model B,Some of the graduates of my program have moved on to other things because the jobs suck.,hypothesis,Only some of the graduates of my program have moved on to other things because the jobs suck.,At least some of the graduates of my program have moved on to other things because the jobs suck.,,"That's fine, I don't hold that against them.",,
T3A-0079,84765,Model A,He was a great man and will be missed.,premise,He was a great man while alive and will be missed.,He was a great man when he was around and will be missed.,,"He was a man of integrity, honor and courage.",,
T3A-0023,25701,Model A,What we need is a change in attitude.,premise,All we need is a change in attitude.,We need a change in attitude.,,We need to get away from the focus on the plays and more on the players.,,
T3A-0065,3578,Model B,The class will discuss how to write a research paper.,premise,The class is about how to write a research paper.,"The class will, at some point, discuss how to write a research paper.",,The class will learn how to use MLA and APA (for nonfiction) formatting and also how to choose an effective topic.,,
T3A-0034,8101,Model B,Some of the students in the class were given a detention.,hypothesis,Some but not all of the students in the class were given a detention.,At least some of the students in the class were given a detention.,,1/2 of those who got detention wet the bed last night.,,
T3A-0001,19_c,Model B,I hope there are more interactive exhibits in the museum.,premise,I hope there are more exhibits that are interactive in the museum.,I hope there are exhibits that are more interactive in the museum.,,13 Eco immigrant hotels waiting for guests.,,
T3A-0059,95_c,Model A,People who are funny naturally use humor to build connections.,premise,People who are naturally funny use humor to build connections.,Funny people naturally use humor to build connections.,,"Smashy people know how to use humor as a tool to reach out to others, make them laugh, and establish a rapport with a person.",,
T3A-0093,64918,Model B,"If a business is doing well, its stock price may increase.",premise,"Even if a business is doing well, its stock price may or may not increase.","If a business is doing well, this would increase the chances that its stock price increases.",,5.,,
T3A-0056,40798,Model A,The highway will connect the two cities.,hypothesis,The highway is expected to connect the two cities.,The highway will certainly connect the two cities.,,The highway is 60 miles long and the constructionakar is 10 miles long.,,
T3A-0038,108_c,Model B,I've only lived in the northern part of Seattle.,premise,"In Seattle, I've only lived in the northern part.",I haven't lived anywhere in the world besides the northern part of Seattle.,,"We're talking a few miles from the University of Washington, which is 3 miles from downtown, Seattle.",,
T3A-0080,84765,Model A,He was a great man and will be missed.,premise,He was a great man while alive and will be missed.,He was a great man when he was around and will be missed.,,He was a great man and will be missed.,,
T3A-0044,107_c,Model A,Desegregation was becoming disbanded in Charlotte thanks to the magnet schools.,hypothesis,Desegregation was fortunately becoming disbanded in Charlotte because of the magnet schools.,Desegregation was becoming disbanded in Charlotte at the fault of the magnet schools.,,It was a great thing for the kids to go to the magnet schools.,,
T3A-0035,8101,Model A,Some of the students in the class were given a detention.,hypothesis,Some but not all of the students in the class were given a detention.,At least some of the students in the class were given a detention.,,"1/4 of the remainder were sent out to the classroom, and 1/2 of the remainder were sent to the library.",,
T3A-0069,79_c,Model B,Calvin will honor his father and Otto will too.,premise,Calvin will honor his father and Otto will honor Calvin's father too.,Calvin will honor his father and Otto will honor his own father too.,,"It is one of the outstanding attributes of a New Covenant relationship with the Author of the Faith--the power of desire to honor, to trust, to do",,
T3A-0096,64918,Model A,"If a business is doing well, its stock price may increase.",premise,"Even if a business is doing well, its stock price may or may not increase.","If a business is doing well, this would increase the chances that its stock price increases.",,"If a business is not doing well, its stock price may decrease.",,
T3A-0002,19_c,Model B,I hope there are more interactive exhibits in the museum.,premise,I hope there are more exhibits that are interactive in the museum.,I hope there are exhibits that are more interactive in the museum.,,34 of these meals are set apart and do not require any further conditionals.,,
T3A-0071,79_c,Model A,Calvin will honor his father and Otto will too.,premise,Calvin will honor his father and Otto will honor Calvin's father too.,Calvin will honor his father and Otto will honor his own father too.,,Otto and Calvin will protect their brother and sister from the Nazis.,,
T3A-0033,8101,Model B,Some of the students in the class were given a detention.,hypothesis,Some but not all of the students in the class were given a detention.,At least some of the students in the class were given a detention.,,8 of the students got angry about this and threw snowballs at their teacher on his way home.,,
T3A-0068,3578,Model A,The class will discuss how to write a research paper.,premise,The class is about how to write a research paper.,"The class will, at some point, discuss how to write a research paper.",,D.,,
T3A-0060,95_c,Model A,People who are funny naturally use humor to build connections.,premise,People who are naturally funny use humor to build connections.,Funny people naturally use humor to build connections.,,**5.,,
T3A-0090,28632,Model B,The accident is still a mystery.,hypothesis,What the accident was is still a mystery.,The accident is still shrouded in mystery.,,2.10 English Grammar.,,
T3A-0049,38194,Model B,Nancy Drew is not a role model for young girls.,hypothesis,Nancy Drew is not a good role model for young girls.,Nancy Drew is not perceived as a role model for young girls.,,Here is the fourth part of my problem with the Nancy Drew Series.,,
T3A-0050,38194,Model B,Nancy Drew is not a role model for young girls.,hypothesis,Nancy Drew is not a good role model for young girls.,Nancy Drew is not perceived as a role model for young girls.,,2007 should be the end of the Nancy Drew franchise for this very reason.,,
T3A-0009,51_c,Model B,The teacher wrote a quote from Martin Luther King Jr in every student's yearbook.,premise,The teacher wrote the same quote from Martin Luther King Jr in every student's yearbook.,"The teacher wrote a quote in every student's yearbook, and all the quotes were from Martin Luther King Jr.",,"515 NORTH INDEPENDENCE ST • WILSON, NC 27893 • PH: (252) 399-7900 •...",,
T3A-0077,84765,Model B,He was a great man and will be missed.,premise,He was a great man while alive and will be missed.,He was a great man when he was around and will be missed.,,"Although it seems like he was everywhere, his greatest role was being a well educated people man that clearly found shuttling between the campus and administration",,
T3A-0055,40798,Model A,The highway will connect the two cities.,hypothesis,The highway is expected to connect the two cities.,The highway will certainly connect the two cities.,,"Answer: Yes, the highway will connect the two cities.",,
T3A-0088,101528,Model A,The students may have to wear uniforms to school.,hypothesis,The students may or may not have to wear uniforms to school.,There is a non-zero chance that the students have to wear uniforms to school.,,No: The students may not have to wear uniforms to school.,,
T3A-0021,25701,Model B,What we need is a change in attitude.,premise,All we need is a change in attitude.,We need a change in attitude.,,"If we change our attitude, some of the benefits we actually attract to ourselves.",,
T3A-0081,52_c,Model B,Giacomo believes several people in the room are counting cards.,premise,There are several individuals in the room who Giacomo believes to be counting cards.,Giacomo believes there are multiple people in the room counting cards.,,ulyssesacker believes several people in the room are counting cards.,,
T3A-0020,391,Model A,"Even if you study hard, you can't expect to get an A on the test.",premise,"Even if you study hard, you can't expect to get an A on the test, though it is possible.","Even if you study hard, you can't expect to get an A on the test; it may or may not be possible.",,"It's like taking a test, taking a test, taking a test.",,
T3A-0015,43_c,Model A,Some of the graduates of my program have moved on to other things because the jobs suck.,hypothesis,Only some of the graduates of my program have moved on to other things because the jobs suck.,At least some of the graduates of my program have moved on to other things because the jobs suck.,,"It really is the question, what do you want to do with your life?",,
T3A-0007,104020,Model A,The vote was close because many people were undecided.,premise,The vote was close because many people were unsure of their vote.,The vote was close because many people abstained due to indecision.,,"At the end of the day, the vote was 387 votes for Kerry and 375 votes for Bush.",,
T3A-0097,28059,Model B,"The company has been in trouble for some time, and its stock prices have been falling steadily.",premise,"The company has been in trouble for some time, which has caused its stock prices to fall steadily.","The company has been in trouble for some time, and also its stock prices have been falling steadily.",,324 Shares Yesterday Valuation shows the price EV that is currently placed at $447B.,,
T3A-0012,51_c,Model A,The teacher wrote a quote from Martin Luther King Jr in every student's yearbook.,premise,The teacher wrote the same quote from Martin Luther King Jr in every student's yearbook.,"The teacher wrote a quote in every student's yearbook, and all the quotes were from Martin Luther King Jr.",,The last student in the class had to write 10 yearbooks.,,
T3A-0064,104_c,Model A,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",premise,"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic — maybe even the only authentic — papyrus are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.","Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country. Though there are many places that sell authentic papyrus, some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.",,"For an example, one of the papyrus we saw at the Pharaonic Village showed a scene of a man in a gladiator robe fighting",,
